n;iter;niter;time_GPU;time_CPU_rand;loss_GPU;loss_CPU_rand
10;0;2;0.000000;0.047378;0.000000;0.000054
10;1;2;0.000000;0.037492;0.000000;0.000098
20;0;2;0.000000;0.098142;0.000000;0.000313
20;1;2;0.000000;0.072234;0.000000;0.000248
30;0;2;0.000000;0.139491;0.000000;0.000246
30;1;2;0.000000;0.143476;0.000000;0.000274
40;0;2;0.000000;0.252365;0.000000;0.000468
40;1;2;0.000000;0.251568;0.000000;0.000368
50;0;2;0.000000;0.374850;0.000000;0.000538
50;1;2;0.000000;0.325655;0.000000;0.000416
60;0;2;0.000000;0.464943;0.000000;0.000716
60;1;2;0.000000;0.465362;0.000000;0.000719
70;0;2;0.000000;0.719539;0.000000;0.000872
70;1;2;0.000000;0.749270;0.000000;0.000903
80;0;2;0.000000;0.973619;0.000000;0.000921
80;1;2;0.000000;0.985830;0.000000;0.000904
90;0;2;0.000000;1.234500;0.000000;0.001015
90;1;2;0.000000;1.642747;0.000000;0.001010
100;0;2;0.000000;1.553895;0.000000;0.001018
100;1;2;0.000000;1.540044;0.000000;0.001217
